Year,ProSport,WinningTeam,City,State
2006,MLB,St. Louis Cardinals,St. Louis,MO
2006,MLS,Houston Dynamo,Houston,TX
2007,NFL,Indianapolis Colts,Indianapolis Metro Area,IN
2007,NBA,San Antonio Spurs,San Antonio,TX
2007,NHL,Anaheim Ducks,Greater Los Angeles,CA
2007,MLB,Boston Red Sox,Greater Boston,MA
2007,MLS,Houston Dynamo,Houston,TX
2008,NFL,New York Giants,New York City,NY
2008,NBA,Boston Celtics,Greater Boston,MA
2008,NHL,Detroit Red Wings,Metro Detroit,MI
2008,MLB,Philadelphia Phillies,Greater Philadelphia,PA
2008,MLS,Columbus Crew,Columbus,OH
2009,NFL,Pittsburgh Steelers,Pittsburgh,PA
2009,NBA,Los Angeles Lakers,Greater Los Angeles,CA
2009,NHL,Pittsburgh Penguins,Pittsburgh,PA
2009,MLB,New York Yankees,New York City,NY
2009,MLS,Real Salt Lake,Salt Lake City,UT
2010,NFL,New Orleans Saints,New Orleans,LA
2010,NBA,Los Angeles Lakers,Greater Los Angeles,CA
2010,NHL,Chicago Blackhawks,Chicago,IL
2010,MLB,San Francisco Giants,San Francisco Bay Area,CA
2010,MLS,Colorado Rapids,Denver,CO
2011,NFL,Green Bay Packers,Green Bay,WI
2011,NBA,Dallas Mavericks,Dallas-Fort Worth,TX
2011,NHL,Boston Bruins,Greater Boston,MA
2011,MLB,St. Louis Cardinals,St. Louis,MO
2011,MLS,Los Angeles Galaxy,Greater Los Angeles,CA
2012,NFL,New York Giants,New York City,NY
2012,NBA,Miami Heat,Greater Miami Area,FL
2012,NHL,Los Angeles Kings,Greater Los Angeles,CA
2012,MLB,San Francisco Giants,San Francisco Bay Area,CA
2012,MLS,Los Angeles Galaxy,Greater Los Angeles,CA
2013,NFL,Baltimore Ravens,Baltimore,MD
2013,NBA,Miami Heat,Greater Miami Area,FL
2013,NHL,Chicago Blackhawks,Chicago,IL
2013,MLB,Boston Red Sox,Greater Boston,MA
2013,MLS,Sporting Kansas City,Kansas City,MO
2014,NFL,Seattle Seahawks,Seattle,WA
2014,NBA,San Antonio Spurs,San Antonio,TX
2014,NHL,Los Angeles Kings,Greater Los Angeles,CA
2014,MLB,San Francisco Giants,San Francisco Bay Area,CA
2014,MLS,Los Angeles Galaxy,Greater Los Angeles,CA
2015,NFL,New England Patriots,Greater Boston,MA
2015,NBA,Golden State Warriors,San Francisco Bay Area,CA
2015,NHL,Chicago Blackhawks,Chicago,IL
2015,MLB,Kansas City Royals,Kansas City,MO
2015,MLS,Portland Timbers,Portland Metro Area,OR
2016,NFL,Denver Broncos,Denver,CO
2016,NBA,Cleveland Cavaliers,Cleveland,OH
2016,NHL,Pittsburgh Penguins,Pittsburgh,PA
2016,MLB,Chicago Cubs,Chicago,IL
2016,MLS,Seattle Sounders FC,Seattle,WA
2017,NFL,New England Patriots,Greater Boston,MA
2017,NBA,Golden State Warriors,San Francisco Bay Area,CA
2017,NHL,Pittsburgh Penguins,Pittsburgh,PA
2017,MLB,Houston Astros,Houston,TX
2017,MLS,Toronto FC,Toronto,ON
2018,NFL,Philadelphia Eagles,Greater Philadelphia,PA
2018,NHL,Washington Capitals,Washington,DC Metro Area
2018,NBA,Golden State Warriors,San Francisco Bay Area,CA
2018,MLB,Boston Red Sox,Greater Boston,MA
