,Year,Pro Sport,Winning Team,City,State
685,1994,NHL,New York Rangers,New York City, NY
691,1995,NFL,San Francisco 49ers,San Francisco Bay Area, CA
693,1995,NBA,Houston Rockets,Houston, TX
695,1995,NHL,New Jersey Devils,New York City, NY
697,1995,MLB,Atlanta Braves,Atlanta, GA
703,1996,NFL,Dallas Cowboys,Dallas-Fort Worth, TX
706,1996,NBA,Chicago Bulls,Chicago, IL
707,1996,NHL,Colorado Avalanche,Denver, CO
709,1996,MLS,D.C. United,Washington, DC Metro Area
710,1996,MLB,New York Yankees,New York City, NY
716,1997,NFL,Green Bay Packers,Green Bay, WI
719,1997,NBA,Chicago Bulls,Chicago, IL
721,1997,NHL,Detroit Red Wings,Metro Detroit, MI
722,1997,MLS,D.C. United,Washington, DC Metro Area
723,1997,MLB,Florida Marlins,Greater Miami Area, FL
730,1998,NFL,Denver Broncos,Denver, CO
733,1998,NBA,Chicago Bulls,Chicago, IL
735,1998,NHL,Detroit Red Wings,Metro Detroit, MI
736,1998,MLS,Chicago Fire,Chicago, IL
737,1998,MLB,New York Yankees,New York City, NY
743,1999,NFL,Denver Broncos,Denver, CO
745,1999,NBA,San Antonio Spurs,San Antonio, TX
747,1999,NHL,Dallas Stars,Dallas-Fort Worth, TX
749,1999,MLB,New York Yankees,New York City, NY
751,1999,MLS,D.C. United,Washington, DC Metro Area
756,2000,NFL,St. Louis Rams,St. Louis, MO
758,2000,NBA,Los Angeles Lakers,Greater Los Angeles, CA
761,2000,NHL,New Jersey Devils,New York City, NY
762,2000,MLB,New York Yankees,New York City, NY
763,2000,MLS,Kansas City Wizards,Kansas City, MO
769,2001,NFL,Baltimore Ravens,Baltimore, MD
772,2001,NBA,Los Angeles Lakers,Greater Los Angeles, CA
773,2001,NHL,Colorado Avalanche,Denver, CO
775,2001,MLS,San Jose Earthquakes,San Jose-Santa Clara, CA
776,2001,MLB,Arizona Diamondbacks,Metro Phoenix, AZ
782,2002,NFL,New England Patriots,Greater Boston, MA
784,2002,NBA,Los Angeles Lakers,Greater Los Angeles, CA
786,2002,NHL,Detroit Red Wings,Metro Detroit, MI
788,2002,MLB,Anaheim Angels,Greater Los Angeles, CA
789,2002,MLS,Los Angeles Galaxy,Greater Los Angeles, CA
795,2003,NFL,Tampa Bay Buccaneers,Tampa Bay Area, FL
798,2003,NBA,San Antonio Spurs,San Antonio, TX
799,2003,NHL,New Jersey Devils,New York City, NY
801,2003,MLB,Florida Marlins,Greater Miami Area, FL
803,2003,MLS,San Jose Earthquakes,San Jose-Santa Clara, CA
809,2004,NFL,New England Patriots,Greater Boston, MA
811,2004,NBA,Detroit Pistons,Metro Detroit, MI
813,2004,NHL,Tampa Bay Lightning,Tampa Bay Area, FL
815,2004,MLB,Boston Red Sox,Greater Boston, MA
817,2004,MLS,D.C. United,Washington, DC Metro Area
822,2005,NFL,New England Patriots,Greater Boston, MA
824,2005,NBA,San Antonio Spurs,San Antonio, TX
827,2005,MLB,Chicago White Sox,Chicago, IL
829,2005,MLS,Los Angeles Galaxy,Greater Los Angeles, CA
834,2006,NFL,Pittsburgh Steelers,Pittsburgh, PA
836,2006,NBA,Miami Heat,Greater Miami Area, FL
839,2006,NHL,Carolina Hurricanes,Greater Raleigh, NC
840,2006,MLB,St. Louis Cardinals,St. Louis, MO
841,2006,MLS,Houston Dynamo,Houston, TX
847,2007,NFL,Indianapolis Colts,Indianapolis Metro Area, IN
849,2007,NBA,San Antonio Spurs,San Antonio, TX
